BUYER_COUNTY,OXYCODONE_COUNT,HYDROCODONE_COUNT
PALM BEACH,2881424.0,764063.0
HERNANDO,523348.0,215281.0
PINELLAS,2294590.0,1118504.0
MIAMI-DADE,1858212.0,483234.0
BROWARD,4198740.0,895424.0
DUVAL,1368505.0,1229591.0
COLLIER,486445.0,146243.0
OKEECHOBEE,105218.0,38999.0
LEE,1129500.0,443731.0
HILLSBOROUGH,3425586.0,1482179.0
POLK,656511.0,533505.0
PASCO,1155957.0,479234.0
OKALOOSA,138716.0,202965.0
ORANGE,1470209.0,863734.0
LAFAYETTE,2319.0,5296.0
BREVARD,1086507.0,492236.0
LAKE,381120.0,257681.0
TAYLOR,27111.0,42074.0
JACKSON,28010.0,62862.0
OSCEOLA,365222.0,141102.0
SEMINOLE,737063.0,444632.0
CITRUS,253614.0,171769.0
SAINT JOHNS,201236.0,145555.0
ALACHUA,422006.0,155966.0
HOLMES,8456.0,18033.0
WASHINGTON,26794.0,51136.0
MANATEE,620866.0,372405.0
SANTA ROSA,157808.0,205974.0
ESCAMBIA,277378.0,444448.0
HIGHLANDS,111651.0,74940.0
CHARLOTTE,368528.0,145218.0
SARASOTA,835442.0,313067.0
INDIAN RIVER,262499.0,120560.0
CLAY,321139.0,251954.0
BAY,151323.0,385123.0
VOLUSIA,761136.0,611256.0
LEON,171134.0,196380.0
DIXIE,9571.0,4010.0
PUTNAM,149486.0,118026.0
GILCHRIST,14764.0,8041.0
COLUMBIA,110239.0,88249.0
JEFFERSON,6839.0,10614.0
SAINT LUCIE,428216.0,149632.0
MARTIN,269923.0,90354.0
MARION,500322.0,339271.0
FLAGLER,118654.0,82965.0
MONROE,166330.0,99423.0
CALHOUN,5987.0,11003.0
FRANKLIN,5988.0,9054.0
BRADFORD,60589.0,35180.0
SUMTER,112543.0,79542.0
NASSAU,132052.0,133202.0
LEVY,109623.0,59359.0
HENDRY,67741.0,25399.0
BAKER,60623.0,58609.0
HAMILTON,7066.0,7168.0
UNION,11259.0,12032.0
WALTON,63120.0,78012.0
DE SOTO,36028.0,21494.0
GADSDEN,22392.0,31748.0
WAKULLA,25088.0,32312.0
SUWANNEE,37312.0,43406.0
HARDEE,19330.0,14323.0
MADISON,9692.0,19793.0
GULF,8242.0,15936.0
LIBERTY,1496.0,2032.0
GLADES,4782.0,238.0
